# Resultant (after processing) measured flexural accelerances (m/(s^2N)) for flexural wavenumber estimation at respective locations 
# frequency, at 0.25 m, at 0.325 m, at 0.4 m, at 0.475 m, at 0.55 m, at 0.9 m, at 0.975 m, at 1.05 m, at 1.125 m, at 1.2 m, at 1.575 m, at 1.645 m, at 1.65 m, at 1.685 m, at 1.725 m, at 1.765 m, at 1.8 m, at 1.805 m, at 1.875 m
0.000000e+00+0.000000e+00j,7.182312e+00+0.000000e+00j,1.436198e+01+0.000000e+00j,2.229774e+01+0.000000e+00j,7.083101e+01+0.000000e+00j,2.607443e+02+0.000000e+00j,1.537305e+02+0.000000e+00j,-1.193259e+02+0.000000e+00j,-1.925084e+02+0.000000e+00j,-2.512713e+02+0.000000e+00j,-8.355567e+01+0.000000e+00j,-4.495188e+01+0.000000e+00j,-1.203385e+02+0.000000e+00j,-7.601660e+01+0.000000e+00j,2.582106e+02+0.000000e+00j,-1.471379e+02+0.000000e+00j,-8.917371e+00+0.000000e+00j,-2.647842e+01+0.000000e+00j,-1.027824e+02+0.000000e+00j,1.099521e+02+0.000000e+00j
8.593750e+00+0.000000e+00j,-8.967986e-02+9.807109e-02j,-1.113386e-02-1.534959e-01j,-1.990149e-01+1.674256e-01j,3.337292e-02+5.567936e-02j,1.792101e-02+9.020106e-02j,1.092590e-01-4.888297e-03j,2.942250e-01-6.273256e-02j,1.728078e-01+4.902187e-02j,4.903478e-01-1.178896e-02j,4.017626e-01+1.600849e-01j,7.607548e-01-4.651237e-02j,5.475792e-01+2.375457e-02j,4.096837e-01+7.341729e-02j,6.291099e-01+1.090091e-01j,5.826218e-01+1.936779e-01j,6.768101e-01+2.057167e-01j,7.150303e-01-2.678984e-02j,6.915512e-01+1.559375e-03j,8.172073e-01+2.573237e-01j
9.375000e+00+0.000000e+00j,-1.833009e-01-2.041616e-03j,-1.879532e-01+3.949544e-02j,-7.816333e-02+8.134194e-02j,-4.810487e-02-3.093329e-02j,1.530444e-01-6.561182e-02j,2.931142e-01-1.314692e-02j,3.079896e-01-4.174498e-02j,3.547393e-01-1.673239e-01j,4.469645e-01+1.943522e-01j,5.080670e-01-1.036809e-01j,8.005921e-01-2.783671e-01j,1.100196e+00-6.664950e-03j,1.124849e+00-2.597909e-01j,9.353859e-01-8.819192e-02j,1.238415e+00-1.096036e-01j,1.171892e+00-2.027128e-01j,1.366111e+00-2.256460e-01j,1.323043e+00-1.794046e-01j,1.332743e+00-1.514544e-01j
1.015625e+01+0.000000e+00j,-2.402244e-01+9.620260e-02j,-4.089915e-01+1.528200e-01j,-1.285264e-01+2.018346e-01j,1.156097e-01+1.705939e-02j,-8.884210e-02-1.454797e-01j,4.912842e-01-1.647575e-01j,6.288690e-01-1.794386e-01j,8.583607e-01-1.421309e-02j,8.653051e-01-7.075748e-02j,8.397408e-01-1.521865e-01j,1.336291e+00-3.507259e-01j,1.513871e+00-4.595361e-01j,1.526228e+00-1.300249e-01j,1.459402e+00-2.360191e-01j,1.871175e+00-2.326429e-01j,1.848023e+00-4.768246e-01j,2.242665e+00-2.894043e-01j,1.888680e+00-6.630322e-01j,2.017308e+00-1.535619e-01j
1.093750e+01+0.000000e+00j,-4.774361e-01+2.419426e-02j,-4.115893e-01+1.912638e-01j,-2.336739e-01+6.740378e-02j,6.197768e-02+8.927860e-02j,2.535508e-01-1.955097e-01j,1.340360e+00-4.374367e-01j,1.699568e+00-4.243548e-01j,1.750269e+00-8.071205e-01j,2.268105e+00-9.224343e-01j,1.829254e+00-5.383212e-01j,3.331957e+00-8.497160e-01j,3.216661e+00-1.263036e+00j,3.373190e+00-1.265456e+00j,4.339555e+00+1.033550e-01j,3.660118e+00-1.603032e+00j,3.638872e+00-1.678442e+00j,4.922919e+00-2.392335e+00j,4.860542e+00-2.201360e+00j,5.120011e+00-1.445772e+00j
1.171875e+01+0.000000e+00j,1.100694e+00+1.295471e+00j,4.946595e-01+8.817088e-01j,1.552723e-01+1.107510e-01j,-4.092721e-01-3.840874e-01j,-5.081463e-01-5.890201e-01j,-2.162168e+00-1.221785e+00j,-2.607152e+00-1.129015e+00j,-3.497859e+00-1.539084e+00j,-2.936688e+00-1.492263e+00j,4.774980e+00-3.540788e+00j,-3.318636e+00-7.492979e+00j,-3.736518e+00-8.877823e+00j,-2.514291e+00-1.087742e+01j,-6.149929e+00-9.295132e+00j,-5.933552e+00-1.067486e+01j,-4.050663e+00-5.938620e+00j,-9.144154e+00-7.514055e+00j,-7.707059e+00-7.943629e+00j,-7.082553e+00-9.961703e+00j
1.250000e+01+0.000000e+00j,2.820261e-01+6.918152e-02j,1.747932e-01+5.333718e-02j,7.462181e-02+2.986475e-02j,-5.385091e-02+2.012362e-02j,-1.878236e-01-6.324352e-02j,-3.795621e-01-1.978131e-01j,-5.400775e-01-1.341486e-01j,-6.708612e-01-1.983653e-01j,-7.360403e-01-2.064682e-01j,-2.071871e+00-2.783620e+00j,-2.190402e+00-1.432765e+00j,-2.390999e+00-1.436473e+00j,-2.293480e+00-1.594737e+00j,-2.368755e+00-1.168429e+00j,-2.421448e+00-1.386487e+00j,-2.270262e+00-1.419310e+00j,-2.138128e+00-4.550924e-01j,-2.500080e+00-1.053613e+00j,-2.763901e+00-1.420489e+00j
1.328125e+01+0.000000e+00j,1.376932e-01-4.010224e-02j,1.715332e-01-2.269701e-01j,3.934388e-01-3.890803e-01j,3.700179e-01-5.456024e-01j,5.332235e-01-5.632754e-01j,1.168023e+00-1.215231e+00j,1.319205e+00-1.465468e+00j,1.243098e+00-1.579132e+00j,1.305992e+00-2.029325e+00j,-2.614267e+00-1.860658e+00j,-4.040740e-01-3.221019e+00j,1.968512e-01-3.105344e+00j,7.709093e-01-2.971408e+00j,1.085732e+00-3.594882e+00j,1.378417e+00-3.112340e+00j,4.479872e-01-4.221153e+00j,2.589739e+00-3.711099e+00j,1.352202e+00-3.852130e+00j,1.531854e+00-4.038463e+00j
1.406250e+01+0.000000e+00j,-4.542723e-01+2.334576e-02j,-5.694380e-01-6.517571e-02j,-8.072400e-01-1.284887e-01j,-1.065584e+00-2.208070e-01j,-1.321079e+00-2.658214e-01j,-2.567011e+00-6.343101e-01j,-2.695747e+00-7.667263e-01j,-2.740875e+00-6.356377e-01j,-2.885912e+00-6.147264e-01j,-3.149483e+00-7.283563e-02j,-4.306383e+00-1.033421e+00j,-5.224018e+00-1.315227e+00j,-5.317931e+00-1.255801e+00j,-5.382572e+00-1.339936e+00j,-5.650571e+00-1.266865e+00j,-5.751468e+00-1.387084e+00j,-6.120376e+00-1.300051e+00j,-6.080493e+00-1.197475e+00j,-6.658817e+00-1.518509e+00j
1.484375e+01+0.000000e+00j,-9.383126e-01+1.838321e-01j,-9.129658e-01+9.646481e-02j,-1.120317e+00+1.329102e-01j,-1.330360e+00+1.661180e-01j,-1.356348e+00+3.069116e-02j,-2.162587e+00-1.235051e-01j,-2.219703e+00-4.554483e-02j,-2.203838e+00-5.451494e-02j,-2.326271e+00-5.791706e-02j,-2.579706e+00+4.187205e-01j,-3.534185e+00-9.790859e-02j,-3.973071e+00-2.822496e-01j,-3.938807e+00+1.485396e-01j,-3.882712e+00-1.492644e-01j,-4.146297e+00-3.110476e-02j,-4.272239e+00-2.081208e-01j,-4.454982e+00+2.403969e-02j,-4.367801e+00-8.561367e-02j,-4.747499e+00-2.477283e-01j
1.562500e+01+0.000000e+00j,-3.032773e+00+1.760495e+00j,-2.401502e+00+1.484877e+00j,-2.917527e+00+2.116757e+00j,-2.491345e+00+1.329654e+00j,-2.387430e+00+1.151022e+00j,-2.714735e+00+9.696292e-01j,-3.598680e+00+1.836050e+00j,-2.936193e+00+1.153083e+00j,-3.413532e+00+1.256576e+00j,-2.422299e+00+1.500232e+00j,-3.902290e+00+2.169566e+00j,-4.762512e+00+2.316770e+00j,-4.092730e+00+1.603314e+00j,-4.819952e+00+1.735268e+00j,-4.322389e+00+1.442155e+00j,-5.565104e+00+2.302049e+00j,-4.376626e+00+1.785647e+00j,-5.712714e+00+2.688027e+00j,-5.819104e+00+2.131028e+00j
1.640625e+01+0.000000e+00j,2.241843e+00+6.868873e-01j,2.175984e+00+6.870274e-01j,1.910362e+00+6.311477e-01j,1.891392e+00+6.384357e-01j,1.803438e+00+5.728787e-01j,1.433630e+00+6.104456e-01j,1.261166e+00+4.087342e-01j,1.150988e+00+5.856656e-01j,1.112540e+00+4.956432e-01j,9.166246e-01+4.642173e-01j,4.113243e-01+3.434854e-01j,3.065446e-01+3.587662e-01j,3.044959e-01+3.618537e-01j,1.449222e-01+3.653658e-01j,7.267502e-02+4.027182e-01j,7.610729e-02+3.730415e-01j,1.605675e-01+4.698613e-01j,5.008547e-02+5.117318e-01j,-1.007141e-01+3.723014e-01j
1.718750e+01+0.000000e+00j,1.139116e+00+1.151447e-01j,1.012820e+00+1.079597e-01j,9.093830e-01+1.077294e-01j,8.386199e-01+1.023572e-01j,7.478239e-01+1.017578e-01j,3.633577e-01+7.211977e-02j,2.798848e-01+6.531390e-02j,1.918373e-01+4.099147e-02j,1.156699e-01+5.216804e-02j,2.516500e-03+4.081523e-02j,-5.183229e-01+2.926036e-02j,-6.967310e-01+4.632557e-02j,-6.558925e-01+1.863898e-02j,-7.393497e-01+1.070745e-02j,-7.928624e-01-1.456810e-03j,-8.599990e-01+1.003410e-02j,-9.558730e-01+2.773047e-02j,-9.483479e-01+2.503232e-02j,-1.075375e+00-1.721118e-02j
1.796875e+01+0.000000e+00j,7.870687e-01+4.238901e-02j,6.768975e-01+4.560224e-02j,5.702949e-01+3.284816e-02j,5.349546e-01+2.074173e-02j,4.756809e-01+4.074672e-02j,1.109486e-01+1.825753e-02j,3.010919e-02+1.208544e-02j,-3.881276e-02+2.180593e-02j,-1.139860e-01+1.129730e-02j,-2.059310e-01+9.356638e-03j,-7.048329e-01-1.017988e-02j,-8.292405e-01+6.559631e-02j,-8.394777e-01-2.657680e-02j,-9.169723e-01-3.628774e-02j,-9.690823e-01-2.653448e-02j,-1.053282e+00-1.270323e-02j,-1.145375e+00+8.020170e-03j,-1.159536e+00-8.187485e-03j,-1.285607e+00-6.313007e-02j
1.875000e+01+0.000000e+00j,6.206901e-01+4.116315e-02j,5.586251e-01+4.047147e-02j,4.891605e-01+5.113348e-02j,4.118475e-01+3.882417e-02j,3.169576e-01+1.749781e-02j,2.148249e-02-1.252305e-02j,-5.766860e-02+4.059263e-03j,-1.223555e-01+1.478584e-02j,-1.971673e-01+1.464249e-02j,-3.008783e-01-9.629107e-03j,-7.493671e-01+2.414130e-03j,-8.605018e-01+7.388545e-03j,-9.043324e-01-2.843544e-02j,-9.793545e-01-5.722048e-02j,-1.010245e+00+2.477385e-03j,-1.102183e+00-4.952875e-02j,-1.225379e+00+8.540265e-03j,-1.230034e+00+4.447715e-03j,-1.398206e+00-5.690810e-02j
1.953125e+01+0.000000e+00j,5.277188e-01+8.166335e-03j,4.317105e-01+1.499505e-02j,3.948071e-01+4.661150e-02j,3.479083e-01+1.742432e-02j,2.561162e-01+7.474856e-03j,-4.907505e-02+1.856469e-02j,-7.599986e-02-2.027303e-02j,-1.504523e-01-2.764246e-02j,-2.456558e-01-2.615543e-02j,-3.364812e-01+1.203816e-02j,-7.698121e-01-3.423440e-02j,-8.657104e-01+1.310432e-02j,-8.839431e-01-3.239459e-02j,-9.822034e-01+1.430175e-02j,-1.027928e+00-3.454673e-02j,-1.126165e+00-4.272057e-02j,-1.275030e+00-1.287655e-03j,-1.235331e+00+3.339514e-02j,-1.455650e+00-5.098495e-02j
2.031250e+01+0.000000e+00j,4.630576e-01+3.848239e-02j,3.660813e-01+1.688564e-02j,3.540530e-01+1.719396e-02j,2.797374e-01+1.760829e-02j,2.054113e-01+4.416845e-02j,-8.534097e-02+1.358980e-03j,-1.330481e-01+3.730162e-03j,-2.360035e-01+3.124717e-03j,-2.443070e-01-9.565019e-03j,-3.134368e-01+9.791963e-03j,-7.837452e-01-1.752627e-02j,-8.813343e-01-9.116325e-03j,-9.256981e-01-4.214404e-02j,-9.538766e-01-3.521481e-02j,-1.071329e+00-4.084286e-02j,-1.143910e+00-3.865934e-02j,-1.240455e+00+3.887186e-02j,-1.256899e+00+5.405104e-02j,-1.443933e+00-2.638000e-03j
2.109375e+01+0.000000e+00j,3.574365e-01+2.210940e-02j,3.692852e-01+3.316364e-02j,3.247761e-01+6.370211e-02j,2.123482e-01+2.558045e-02j,1.805087e-01+2.384599e-02j,-1.038558e-01+2.487285e-02j,-1.465335e-01-3.205658e-03j,-2.296341e-01-3.471207e-02j,-2.725616e-01-1.550442e-02j,-3.376499e-01-8.107175e-03j,-7.646948e-01-9.044587e-03j,-9.233807e-01-3.342525e-03j,-9.371348e-01-3.819310e-02j,-9.622751e-01+1.604665e-03j,-1.092108e+00-3.144735e-02j,-1.126731e+00-1.429651e-02j,-1.300264e+00+6.994754e-02j,-1.274738e+00+3.400613e-02j,-1.476508e+00-9.169600e-04j
2.187500e+01+0.000000e+00j,3.241426e-01+5.885461e-02j,2.843203e-01+3.302019e-02j,2.494203e-01-2.205675e-02j,2.013371e-01+8.002053e-03j,1.481143e-01-1.585436e-03j,-1.289903e-01+3.571286e-02j,-1.453197e-01+7.626345e-03j,-2.120836e-01-1.651758e-02j,-3.260720e-01+1.226100e-04j,-3.146633e-01-1.546217e-02j,-8.173230e-01+4.492654e-02j,-9.519332e-01+8.261865e-03j,-9.493904e-01+1.435248e-02j,-1.006946e+00+5.198942e-02j,-1.138120e+00-2.953840e-02j,-1.274405e+00+1.618127e-02j,-1.361433e+00+6.996898e-02j,-1.358996e+00+3.246522e-02j,-1.487374e+00+5.284577e-02j
2.265625e+01+0.000000e+00j,2.406415e-01+1.043178e-01j,2.210462e-01+8.204973e-02j,1.766209e-01+1.352024e-01j,5.485499e-02+8.210538e-02j,-1.674980e-02+1.355818e-01j,-2.451103e-01+6.136851e-02j,-2.302742e-01+7.042218e-02j,-3.290334e-01+2.034722e-02j,-3.443217e-01+7.616365e-02j,-3.854154e-01+6.837909e-02j,-9.052798e-01+8.260818e-02j,-1.070310e+00+1.052013e-01j,-1.087446e+00+4.702994e-02j,-1.063387e+00+5.931575e-02j,-1.229023e+00+9.893344e-02j,-1.323659e+00+1.892281e-01j,-1.532880e+00+2.127895e-01j,-1.591946e+00+1.871918e-01j,-1.639129e+00+1.300697e-01j
2.343750e+01+0.000000e+00j,5.308014e-01+1.770763e-01j,4.666455e-01+1.759140e-01j,4.228664e-01+1.305758e-01j,4.781283e-01+1.531436e-01j,3.884608e-01+1.662537e-01j,1.403130e-01+1.484405e-01j,1.326564e-01+2.087449e-01j,1.096067e-01+2.613530e-01j,2.948713e-02+2.697954e-01j,-1.840894e-01+3.167075e-01j,-3.865625e-01+4.312925e-01j,-5.058698e-01+4.748439e-01j,-5.310175e-01+5.136343e-01j,-5.764449e-01+4.188269e-01j,-5.906393e-01+6.495879e-01j,-6.311767e-01+5.772519e-01j,-5.415562e-01+7.342705e-01j,-6.369141e-01+7.138818e-01j,-8.434227e-01+8.806624e-01j
2.421875e+01+0.000000e+00j,4.304676e-01+1.045695e-02j,3.696447e-01+6.199711e-02j,3.350072e-01+3.107670e-02j,3.205011e-01+3.524240e-02j,2.607500e-01-2.095321e-02j,1.156046e-02+2.433484e-02j,-1.342608e-02+1.963901e-03j,-1.598663e-03+6.033430e-04j,-1.008068e-01-9.554944e-03j,-1.311959e-01+1.546267e-02j,-4.867757e-01+3.718776e-02j,-5.709784e-01+6.421711e-02j,-6.548667e-01-7.351715e-03j,-7.270372e-01+3.781200e-03j,-7.576183e-01+2.629839e-02j,-7.570763e-01+8.714030e-03j,-8.120539e-01+1.175287e-01j,-8.099243e-01+1.009707e-01j,-9.918671e-01+7.303522e-02j
2.500000e+01+0.000000e+00j,4.090592e-01+1.369421e-02j,3.265882e-01-3.935600e-02j,3.061456e-01+7.560054e-03j,2.376696e-01+1.162137e-02j,2.402650e-01+1.004759e-02j,4.247824e-02+1.683354e-02j,-1.183214e-02-2.321065e-02j,-4.075154e-02-3.769883e-02j,-8.622373e-02-3.643518e-03j,-1.099738e-01-1.528680e-02j,-5.461358e-01+1.957376e-02j,-6.379094e-01+2.467746e-02j,-6.321781e-01-9.270843e-02j,-7.181853e-01-2.657198e-02j,-8.283301e-01-9.887540e-02j,-8.272763e-01-2.066585e-02j,-9.249432e-01+4.612416e-02j,-8.815279e-01+6.108295e-03j,-1.106318e+00-6.506637e-02j
2.578125e+01+0.000000e+00j,3.732354e-01+4.337521e-02j,3.273449e-01-1.752605e-02j,2.593984e-01+9.080512e-03j,2.597896e-01-7.480499e-03j,1.746454e-01-3.889025e-02j,3.415382e-02-6.716866e-03j,-1.936798e-02-4.396389e-02j,-1.538029e-03-9.657749e-03j,-8.013574e-02-3.366242e-02j,-6.273370e-02-1.616515e-02j,-4.358007e-01-8.896374e-02j,-5.441914e-01-7.499151e-02j,-5.641814e-01-1.476258e-01j,-6.376805e-01-1.358555e-01j,-6.972139e-01-1.298016e-01j,-7.357206e-01-4.558815e-02j,-9.076243e-01-7.115993e-02j,-8.087551e-01-9.481789e-02j,-1.046114e+00-1.575936e-01j
2.656250e+01+0.000000e+00j,3.517712e-01+2.938303e-02j,3.147017e-01-1.615977e-02j,3.298000e-01+8.186290e-03j,2.569261e-01-2.416336e-02j,2.210014e-01-1.722973e-02j,1.288673e-01-2.781665e-03j,7.699612e-02-7.565336e-02j,-6.745570e-03-8.889516e-02j,7.523922e-02-8.173025e-02j,-4.012695e-03-8.478742e-02j,-1.970686e-01-1.991909e-01j,-2.689583e-01-1.854346e-01j,-3.327054e-01-2.151779e-01j,-3.115851e-01-2.646199e-01j,-4.772460e-01-2.443654e-01j,-3.306638e-01-3.741463e-01j,-5.108137e-01-3.407522e-01j,-5.086116e-01-3.334736e-01j,-5.067697e-01-3.971073e-01j
2.734375e+01+0.000000e+00j,3.572772e-01+4.066093e-02j,2.845454e-01-4.807765e-02j,2.778386e-01-1.425373e-01j,3.343671e-01-1.295281e-01j,2.673582e-01-1.147209e-01j,2.368324e-01-2.900057e-01j,1.687382e-01-3.372213e-01j,3.045880e-01-4.696481e-01j,9.496430e-02-4.834184e-01j,2.012836e-01-5.397756e-01j,-6.569405e-03-1.353410e+00j,3.978599e-02-1.651446e+00j,3.864688e-01-1.395631e+00j,-1.124828e-01-1.736450e+00j,2.116135e-01-1.977953e+00j,-2.111183e-01-2.267972e+00j,1.382792e-01-2.105407e+00j,-1.268375e-01-1.945287e+00j,-1.245390e-01-2.841991e+00j
2.812500e+01+0.000000e+00j,3.224952e-01+1.265633e-02j,2.266683e-01+7.226020e-03j,1.653827e-01-1.594470e-02j,1.302349e-01-4.342568e-02j,4.579387e-02-5.605330e-02j,-2.856723e-01-1.336734e-01j,-3.457090e-01-1.555788e-01j,-4.718756e-01-1.823314e-01j,-5.380430e-01-1.699273e-01j,-6.477160e-01-2.175946e-01j,-1.756684e+00-4.292723e-01j,-2.177729e+00-5.442543e-01j,-2.297310e+00-6.625370e-01j,-2.486036e+00-6.418052e-01j,-2.671443e+00-6.025265e-01j,-2.962258e+00-7.459871e-01j,-3.229009e+00-8.937166e-01j,-3.330281e+00-9.194184e-01j,-4.298610e+00-1.069641e+00j
